ID,Education,Marital_Status,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Idade,Gasto_Total,Total_Filhos,Total_Compras,Total_Campanhas_Aceitas,Tempo_Cliente_Dias
9360,Graduação,Com Parceiro,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,32,316,0,11,0,690
5376,Graduação,Com Parceiro,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,35,1730,1,28,0,539
1993,Doutorado,Com Parceiro,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,65,972,1,14,1,553
4047,Doutorado,Com Parceiro,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,60,544,1,17,0,169
1409,Graduação,Com Parceiro,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,63,444,1,13,0,468
7892,Graduação,Solteiro,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,45,75,0,6,0,543
2404,Graduação,Com Parceiro,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,38,257,2,10,0,398
9422,Graduação,Com Parceiro,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,25,131,1,7,0,394
1966,Doutorado,Com Parceiro,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,49,1672,0,25,1,219
6864,Mestrado,Solteiro,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,25,30,0,6,0,38
3033,Mestrado,Com Parceiro,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,51,318,0,10,0,414
5710,Graduação,Com Parceiro,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,44,120,1,7,1,627
7373,Doutorado,Solteiro,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,62,302,2,11,1,608
8755,Mestrado,Com Parceiro,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,68,1196,0,17,0,494
10738,Mestrado,Solteiro,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,63,65,2,5,0,304
4339,Doutorado,Com Parceiro,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,44,913,1,23,0,180
10755,Mestrado,Com Parceiro,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,38,81,1,6,0,300
8595,Graduação,Solteiro,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,41,67,1,5,0,138
2968,Doutorado,Solteiro,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,71,902,0,22,2,513
8601,Graduação,Com Parceiro,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,34,1395,1,19,0,426
503,Mestrado,Com Parceiro,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,29,53,1,5,0,474
8430,Graduação,Com Parceiro,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,57,22,1,3,0,552
2139,Mestrado,Com Parceiro,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,39,31,1,5,0,270
1371,Graduação,Solteiro,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,38,984,0,15,0,1
9909,Mestrado,Com Parceiro,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,18,122,0,7,1,597
7286,Graduação,Com Parceiro,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,46,55,1,4,0,401
6566,Doutorado,Com Parceiro,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,60,1319,2,19,0,598
8614,Graduação,Solteiro,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,57,507,1,16,0,48
4114,Mestrado,Com Parceiro,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,50,1693,0,28,0,687
1331,Graduação,Solteiro,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,37,72,1,5,0,543
2225,Graduação,Solteiro,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,0,37,1617,0,20,3,22
9381,Graduação,Com Parceiro,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,36,606,2,16,0,382
6260,Mestrado,Com Parceiro,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,59,1957,0,26,2,587
10383,Graduação,Solteiro,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,48,1093,0,20,1,453
7437,Graduação,Solteiro,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,26,29,1,5,0,62
8375,Doutorado,Com Parceiro,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,46,518,1,16,0,118
6853,Mestrado,Solteiro,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,32,1438,0,20,3,360
3076,Graduação,Com Parceiro,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,39,612,2,18,0,660
1012,Graduação,Solteiro,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,62,884,1,20,0,496
6518,Doutorado,Solteiro,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,63,606,1,18,0,383
4137,Graduação,Com Parceiro,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,66,1076,0,15,0,205
8082,Graduação,Com Parceiro,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,43,34,1,4,1,404
1386,Graduação,Com Parceiro,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,47,11,2,3,0,49
9369,Mestrado,Solteiro,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,0,35,1274,1,31,3,102
4477,Graduação,Com Parceiro,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,56,653,1,17,0,275
1357,Graduação,Com Parceiro,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,44,1562,3,12,0,447
1402,Mestrado,Com Parceiro,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,60,1253,0,18,0,656
6312,Graduação,Com Parceiro,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,55,863,1,26,0,469
8132,Doutorado,Com Parceiro,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,39,661,2,19,1,450
1050,Graduação,Com Parceiro,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,62,65,0,7,0,60
5846,Graduação,Solteiro,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,37,13,1,3,0,557
1859,Mestrado,Com Parceiro,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,42,1890,0,18,1,671
7503,Graduação,Solteiro,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,38,2209,0,22,2,625
10401,Mestrado,Com Parceiro,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,1,38,18,0,3,0,298
1618,Graduação,Com Parceiro,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,49,692,0,19,2,543
3332,Graduação,Solteiro,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,29,165,1,8,0,669
2261,Graduação,Com Parceiro,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,45,16,1,3,0,371
5346,Mestrado,Com Parceiro,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,41,79,1,6,0,361
4119,Mestrado,Com Parceiro,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,51,318,0,10,0,414
535,Graduação,Solteiro,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,27,778,0,26,0,124
5268,Graduação,Com Parceiro,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,54,56,2,5,0,322
273,Mestrado,Com Parceiro,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,44,151,2,8,1,348
4452,Graduação,Solteiro,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,57,372,1,13,3,32
8504,Graduação,Com Parceiro,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,41,1366,0,18,1,48
771,Graduação,Com Parceiro,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,47,194,1,9,0,159
11178,Mestrado,Solteiro,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,42,32,1,4,0,98
2230,Doutorado,Com Parceiro,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,44,43,1,7,0,36
7516,Graduação,Com Parceiro,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,31,45,1,5,0,38
7247,Graduação,Solteiro,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,54,606,1,17,1,584
11100,Graduação,Solteiro,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,42,63,2,5,0,444
4646,Mestrado,Com Parceiro,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,63,978,0,24,1,210
3037,Doutorado,Com Parceiro,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,31,410,0,14,0,374
1473,Mestrado,Solteiro,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,54,72,1,5,0,341
1016,Doutorado,Solteiro,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,55,55,1,5,0,91
4518,Graduação,Com Parceiro,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,35,1169,1,25,0,435
9370,Doutorado,Com Parceiro,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,69,1120,0,15,0,408
8908,Graduação,Com Parceiro,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,55,1097,0,19,1,52
8373,Básico,Com Parceiro,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,35,29,1,4,0,201
7533,Graduação,Com Parceiro,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,50,187,2,9,0,278
2683,Graduação,Com Parceiro,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,45,910,2,22,0,512
3629,Graduação,Solteiro,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,36,145,1,7,0,557
10991,Mestrado,Com Parceiro,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,54,850,0,13,0,569
5077,Graduação,Com Parceiro,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,35,969,1,23,0,239
7431,Doutorado,Solteiro,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,23,1820,0,16,2,596
3267,Mestrado,Com Parceiro,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,51,608,1,17,1,4
999,Graduação,Solteiro,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,23,730,0,24,3,543
9215,Doutorado,Com Parceiro,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,34,551,1,16,0,564
2286,Graduação,Solteiro,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,52,114,2,6,0,292
1592,Graduação,Com Parceiro,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,44,1724,0,15,2,156
367,Mestrado,Com Parceiro,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,36,577,1,15,0,495
5234,Mestrado,Com Parceiro,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,47,81,2,5,0,353
9862,Graduação,Com Parceiro,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,45,33,1,5,0,227
9805,Mestrado,Com Parceiro,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,61,660,1,18,0,374
6205,Mestrado,Solteiro,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,47,80,1,6,1,125
8442,Mestrado,Com Parceiro,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,29,30,2,4,0,298
7386,Graduação,Solteiro,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,38,43,1,4,0,433
7215,Graduação,Solteiro,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,31,1135,0,27,4,474
1491,Mestrado,Com Parceiro,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,49,559,0,14,0,496
11071,Graduação,Solteiro,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,30,1923,0,15,1,434
3381,Mestrado,Com Parceiro,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,61,90,2,6,0,21
11051,Doutorado,Com Parceiro,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,58,661,2,19,0,50
8026,Graduação,Com Parceiro,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,62,463,1,14,0,272
433,Mestrado,Solteiro,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,56,632,2,18,0,476
9597,Graduação,Com Parceiro,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,45,725,0,18,0,139
5290,Doutorado,Com Parceiro,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,50,279,2,11,0,319
1685,Doutorado,Com Parceiro,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,47,1482,0,22,1,469
5342,Básico,Solteiro,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,38,29,1,4,0,690
9579,Doutorado,Com Parceiro,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,55,106,3,6,0,357
7660,Doutorado,Solteiro,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,41,49,2,4,2,41
1461,Doutorado,Solteiro,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,49,38,2,5,0,336
821,Mestrado,Solteiro,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,22,2077,0,21,0,618
11084,Mestrado,Com Parceiro,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,38,1053,1,15,1,227
8690,Graduação,Com Parceiro,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,52,1385,0,22,0,436
2937,Doutorado,Solteiro,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,40,871,1,22,0,305
9701,Graduação,Com Parceiro,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,26,312,1,9,0,467
9949,Graduação,Com Parceiro,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,38,877,2,12,0,619
10837,Graduação,Com Parceiro,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,39,68,1,5,1,609
3120,Graduação,Com Parceiro,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,1,33,22,1,3,0,305
5885,Mestrado,Com Parceiro,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,41,211,3,9,0,676
4050,Mestrado,Com Parceiro,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,48,127,0,7,0,8
3830,Mestrado,Com Parceiro,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,61,459,2,15,0,66
7987,Graduação,Com Parceiro,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,45,460,1,15,1,114
7798,Mestrado,Com Parceiro,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,42,429,1,13,0,562
92,Graduação,Solteiro,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,26,89,1,7,0,48
7055,Doutorado,Com Parceiro,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,62,1021,1,24,0,628
10240,Graduação,Com Parceiro,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,65,1381,0,20,3,495
3025,Graduação,Solteiro,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,56,306,1,12,0,356
9283,Graduação,Solteiro,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,36,18,3,3,0,290
9970,Graduação,Com Parceiro,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,37,162,1,8,0,255
2730,Graduação,Solteiro,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,59,1231,0,17,0,313
2795,Mestrado,Solteiro,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,56,13,3,3,0,363
9260,Doutorado,Com Parceiro,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,69,1706,0,25,0,601
8182,Graduação,Com Parceiro,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,30,121,1,7,0,175
10095,Doutorado,Solteiro,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,39,1293,0,19,0,424
4370,Graduação,Com Parceiro,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,48,88,3,6,0,228
10573,Graduação,Solteiro,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,61,421,0,17,1,223
3712,Graduação,Solteiro,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,55,259,0,11,1,305
6637,Graduação,Solteiro,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,26,1117,0,14,0,239
3152,Graduação,Com Parceiro,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,57,89,2,6,0,124
5610,Graduação,Com Parceiro,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,49,36,2,4,0,69
6460,Graduação,Com Parceiro,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,32,57,1,5,0,351
1349,Graduação,Com Parceiro,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,44,148,2,7,0,69
1880,Doutorado,Com Parceiro,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,55,93,2,6,0,150
641,Graduação,Solteiro,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,47,119,1,6,1,86
8717,Doutorado,Com Parceiro,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,39,1835,1,27,0,655
10314,Doutorado,Com Parceiro,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,0,66,1318,0,24,3,560
10854,Doutorado,Com Parceiro,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,44,45,2,5,0,37
10492,Graduação,Com Parceiro,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,55,10,3,3,0,5
6935,Mestrado,Com Parceiro,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,63,978,0,24,1,210
7698,Doutorado,Com Parceiro,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,38,191,1,9,0,49
3559,Mestrado,Com Parceiro,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,26,57,1,6,0,50
10562,Mestrado,Com Parceiro,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,68,1033,0,23,0,274
10796,Mestrado,Com Parceiro,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,30,66,1,5,0,158
2563,Básico,Com Parceiro,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,53,43,0,5,0,14
3518,Graduação,Com Parceiro,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,31,50,1,4,0,571
5823,Doutorado,Solteiro,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,44,39,1,5,0,113
3934,Graduação,Com Parceiro,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,48,608,1,16,0,331
6982,Graduação,Com Parceiro,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,38,1581,0,23,0,467
6431,Doutorado,Com Parceiro,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,50,68,2,5,0,491
9733,Básico,Com Parceiro,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,36,80,1,4,1,658
5602,Doutorado,Com Parceiro,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,25,1282,0,27,0,408
1324,Graduação,Com Parceiro,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,26,91,1,6,0,395
326,Graduação,Com Parceiro,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,41,315,2,12,0,496
7224,Graduação,Com Parceiro,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,37,31,2,4,0,182
6999,Mestrado,Com Parceiro,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,34,834,0,22,0,47
9938,Graduação,Com Parceiro,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,60,1600,0,16,1,283
6422,Graduação,Com Parceiro,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,60,1270,0,16,0,528
3182,Doutorado,Solteiro,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,41,263,2,9,2,90
7300,Graduação,Solteiro,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,62,535,1,16,1,0
10424,Graduação,Solteiro,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,46,1295,0,17,0,202
8727,Graduação,Solteiro,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,36,1150,1,26,0,258
2798,Doutorado,Com Parceiro,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,0,37,1240,0,26,4,604
1030,Doutorado,Solteiro,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,49,38,2,4,0,347
624,Mestrado,Solteiro,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,30,35,0,3,2,596
5176,Graduação,Com Parceiro,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,26,53,1,4,1,203
5552,Mestrado,Solteiro,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,51,293,2,11,0,412
868,Graduação,Com Parceiro,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,48,65,1,5,0,21
380,Graduação,Solteiro,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,0,60,1804,1,24,2,657
2677,Graduação,Com Parceiro,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,0,58,241,1,10,0,455
6521,Graduação,Com Parceiro,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,0,60,1101,0,19,0,103
6927,Doutorado,Com Parceiro,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,0,46,264,2,11,0,632
2877,Mestrado,Com Parceiro,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,0,40,541,2,16,0,524
0,Graduação,Com Parceiro,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,0,29,1198,0,16,0,421
1584,Graduação,Com Parceiro,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,0,37,482,1,14,0,89
7264,Mestrado,Solteiro,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,36,17,3,3,0,48
6274,Mestrado,Com Parceiro,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,0,66,1615,0,24,2,226
1377,Mestrado,Solteiro,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,0,60,285,1,10,0,302
454,Graduação,Com Parceiro,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,0,34,1135,1,26,0,592
1755,Mestrado,Com Parceiro,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,0,26,114,1,6,0,79
2075,Graduação,Com Parceiro,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,0,45,1047,0,15,0,227
4785,Doutorado,Com Parceiro,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,44,714,2,20,0,76
9076,Doutorado,Com Parceiro,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,0,34,185,1,9,0,540
7079,Graduação,Solteiro,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,0,52,1245,1,27,0,659
4653,Graduação,Com Parceiro,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,0,36,189,1,8,0,460
7375,Graduação,Com Parceiro,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,0,38,576,1,14,0,612
709,Graduação,Solteiro,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,0,62,1103,1,15,0,567
460,Doutorado,Com Parceiro,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,0,42,1753,0,16,0,690
3726,Doutorado,Com Parceiro,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,0,28,17,1,3,0,133
6798,Graduação,Solteiro,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,0,48,433,2,14,1,466
5341,Mestrado,Solteiro,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,52,1588,1,13,1,540
1606,Graduação,Com Parceiro,38590.0,65,3,1,8,4,3,3,1,1,0,2,8,0,43,22,1,3,0,410
9617,Graduação,Solteiro,15033.0,37,0,4,5,6,0,4,1,1,0,3,3,0,63,19,0,4,0,74
3233,Doutorado,Com Parceiro,62745.0,89,562,21,464,28,10,32,3,7,8,11,5,0,49,1117,1,26,0,463
89,Mestrado,Com Parceiro,22212.0,49,5,9,20,6,8,21,2,2,0,4,6,0,39,69,1,6,0,202
2936,Mestrado,Com Parceiro,23661.0,46,18,0,4,0,0,1,1,1,0,3,7,0,32,23,1,4,0,207
9449,Doutorado,Solteiro,79761.0,32,415,5,124,15,35,11,1,5,2,11,3,0,56,605,1,18,0,268
7297,Graduação,Solteiro,7500.0,54,5,3,10,12,7,20,4,3,1,3,7,0,41,57,1,7,0,185
313,Graduação,Solteiro,73455.0,98,901,61,757,186,163,20,1,6,5,10,3,0,46,2088,0,21,1,244
9940,Graduação,Com Parceiro,64961.0,97,382,114,276,75,124,38,2,6,4,4,3,0,56,1009,1,14,0,553
10735,Graduação,Solteiro,22804.0,75,14,1,7,2,1,1,1,2,0,2,9,0,43,26,1,4,0,333
9529,Graduação,Com Parceiro,73687.0,8,559,153,503,218,13,181,1,3,9,9,2,0,24,1627,0,21,2,213
6439,Graduação,Com Parceiro,61074.0,37,789,0,133,0,28,152,7,11,5,8,7,0,56,1102,1,24,0,681
